account_id,customer_id,customer_name,email,phone,address,state,account_type,account_status,open_date,close_date,credit_score,kyc_status
A00201,C00201,Customer 201,customer201@example.com,9740190407,87 Park Ave,KA,SAVINGS,ACTIVE,2025-12-12,,793,VERIFIED
A00202,C00202,Customer 202,customer202@example.com,9763398699,51 Park Ave,MH,CURRENT,ACTIVE,2025-12-30,,769,VERIFIED
A00203,C00203,Customer 203,customer203@example.com,9555282394,498 Park Ave,TS,CURRENT,ACTIVE,2025-12-28,,669,VERIFIED
A00204,C00204,Customer 204,customer204@example.com,9331465414,774 Park Ave,KL,SAVINGS,ACTIVE,2025-12-24,,710,VERIFIED
A00205,C00205,Customer 205,customer205@example.com,9219066986,291 Park Ave,TS,CURRENT,ACTIVE,2026-01-04,,770,VERIFIED
A00206,C00206,Customer 206,customer206@example.com,9431162800,47 Park Ave,TN,CURRENT,ACTIVE,2026-01-09,,614,VERIFIED
A00207,C00207,Customer 207,customer207@example.com,9108253947,210 Park Ave,GJ,SAVINGS,ACTIVE,2026-01-20,,635,VERIFIED
A00208,C00208,Customer 208,customer208@example.com,9920511515,262 Park Ave,GJ,CURRENT,ACTIVE,2025-12-09,,601,VERIFIED
A00209,C00209,Customer 209,customer209@example.com,9634063428,765 Park Ave,RJ,SAVINGS,ACTIVE,2025-12-10,,697,VERIFIED
A00210,C00210,Customer 210,customer210@example.com,9671855941,721 Park Ave,TN,SALARY,ACTIVE,2026-01-06,,771,VERIFIED
A00211,C00211,Customer 211,customer211@example.com,9965650861,363 Park Ave,MH,CURRENT,ACTIVE,2026-01-26,,789,VERIFIED
A00212,C00212,Customer 212,customer212@example.com,9145421708,447 Park Ave,KA,CURRENT,ACTIVE,2026-01-29,,619,VERIFIED
A00213,C00213,Customer 213,customer213@example.com,9436146289,590 Park Ave,RJ,SALARY,ACTIVE,2025-12-27,,781,VERIFIED
A00214,C00214,Customer 214,customer214@example.com,9787346882,428 Park Ave,GJ,SAVINGS,ACTIVE,2025-12-27,,605,VERIFIED
A00215,C00215,Customer 215,customer215@example.com,9448717183,176 Park Ave,TS,CURRENT,ACTIVE,2026-01-24,,776,VERIFIED
A00216,C00216,Customer 216,customer216@example.com,9488536370,91 Park Ave,RJ,SAVINGS,ACTIVE,2025-12-17,,711,VERIFIED
A00217,C00217,Customer 217,customer217@example.com,9732295732,411 Park Ave,KL,SAVINGS,ACTIVE,2025-12-27,,679,VERIFIED
A00218,C00218,Customer 218,customer218@example.com,9900801837,348 Park Ave,TN,CURRENT,ACTIVE,2026-01-20,,643,VERIFIED
A00219,C00219,Customer 219,customer219@example.com,9182011731,523 Park Ave,MH,SALARY,ACTIVE,2026-01-03,,649,VERIFIED
A00220,C00220,Customer 220,customer220@example.com,9933468715,358 Park Ave,WB,SALARY,ACTIVE,2026-01-23,,765,VERIFIED
A00038,C00038,Customer 38,customer38@example.com,9941889393,804 Main St,UP,CURRENT,DORMANT,2022-12-01,,588,VERIFIED
A00061,C00061,Customer 61,customer61@example.com,9477040284,657 Main St,KL,CURRENT,ACTIVE,2022-08-21,,704,VERIFIED
A00027,C00027,Customer 27,customer27@example.com,9910959828,748 Main St,TN,SALARY,ACTIVE,2023-07-21,,724,REJECTED
A00066,C00066,Customer 66,customer66@example.com,9812306873,869 Main St,MH,SALARY,DORMANT,2022-10-20,,676,REJECTED
A00051,C00051,Customer 51,customer51@example.com,9369639388,928 Main St,KA,SAVINGS,ACTIVE,2024-02-04,,623,VERIFIED
A00045,C00045,Customer 45,customer45@example.com,9907308348,959 Main St,MH,SAVINGS,ACTIVE,2025-01-31,,637,REJECTED
A00155,C00155,Customer 155,customer155@example.com,9253671484,238 Main St,UP,SALARY,ACTIVE,2024-03-19,,790,VERIFIED
A00040,C00040,Customer 40,customer40@example.com,9161380746,52 Main St,TS,CURRENT,DORMANT,2022-09-01,,636,VERIFIED
A00195,C00195,Customer 195,customer195@example.com,9475932035,866 Main St,KL,CURRENT,ACTIVE,2024-01-31,,742,VERIFIED
A00168,C00168,Customer 168,customer168@example.com,9676140134,127 Main St,UP,CURRENT,ACTIVE,2024-03-05,,724,PENDING
