account_id,customer_id,customer_name,email,phone,address,state,account_type,account_status,open_date,close_date,credit_score,kyc_status
A00001,C00001,Customer 1,customer1@example.com,9786579303,115 Main St,KA,SALARY,ACTIVE,2024-05-23,,615,REJECTED
A00002,C00002,Customer 2,customer2@example.com,9210053353,693 Main St,KL,SAVINGS,ACTIVE,2025-06-19,,587,VERIFIED
A00003,C00003,Customer 3,customer3@example.com,9334760738,239 Main St,KL,SALARY,ACTIVE,2024-07-12,,763,REJECTED
A00004,C00004,Customer 4,customer4@example.com,9853041955,559 Main St,RJ,SAVINGS,ACTIVE,2024-02-01,,787,VERIFIED
A00005,C00005,Customer 5,customer5@example.com,9914763202,826 Main St,DL,SALARY,ACTIVE,2024-02-01,,619,VERIFIED
A00006,C00006,Customer 6,customer6@example.com,9919795579,345 Main St,MH,SAVINGS,ACTIVE,2023-08-19,,796,PENDING
A00007,C00007,Customer 7,customer7@example.com,9748245888,271 Main St,KA,SALARY,ACTIVE,2024-12-11,,816,PENDING
A00008,C00008,Customer 8,customer8@example.com,9184611066,566 Main St,GJ,SALARY,ACTIVE,2023-08-14,,727,VERIFIED
A00009,C00009,Customer 9,customer9@example.com,9856528252,72 Main St,KA,SALARY,ACTIVE,2024-01-09,,600,VERIFIED
A00010,C00010,Customer 10,customer10@example.com,9208449460,390 Main St,GJ,CURRENT,ACTIVE,2023-08-07,,621,PENDING
A00011,C00011,Customer 11,customer11@example.com,9481469012,215 Main St,GJ,SALARY,DORMANT,2025-03-30,,735,REJECTED
A00012,C00012,Customer 12,customer12@example.com,9283758720,547 Main St,TN,SAVINGS,ACTIVE,2024-02-18,,816,REJECTED
A00013,C00013,Customer 13,customer13@example.com,9838908273,571 Main St,TN,SALARY,ACTIVE,2025-05-01,,638,VERIFIED
A00014,C00014,Customer 14,customer14@example.com,9964411347,324 Main St,RJ,CURRENT,ACTIVE,2023-11-18,,634,REJECTED
A00015,C00015,Customer 15,customer15@example.com,9636045484,406 Main St,UP,SAVINGS,ACTIVE,2024-04-05,,770,REJECTED
A00016,C00016,Customer 16,customer16@example.com,9678722458,270 Main St,TS,CURRENT,DORMANT,2023-05-29,,672,VERIFIED
A00017,C00017,Customer 17,customer17@example.com,9248532577,522 Main St,UP,SAVINGS,ACTIVE,2025-01-11,,619,REJECTED
A00018,C00018,Customer 18,customer18@example.com,9271779360,812 Main St,RJ,SALARY,ACTIVE,2023-07-04,,732,PENDING
A00019,C00019,Customer 19,customer19@example.com,9668132202,258 Main St,KL,SAVINGS,ACTIVE,2025-01-01,,754,REJECTED
A00020,C00020,Customer 20,customer20@example.com,9906248900,274 Main St,WB,SAVINGS,ACTIVE,2024-10-04,,696,VERIFIED
A00021,C00021,Customer 21,customer21@example.com,9875340444,897 Main St,GJ,SALARY,ACTIVE,2022-10-19,,813,VERIFIED
A00022,C00022,Customer 22,customer22@example.com,9771410971,306 Main St,KL,SALARY,ACTIVE,2023-07-20,,775,VERIFIED
A00023,C00023,Customer 23,customer23@example.com,9679153816,977 Main St,KL,SAVINGS,ACTIVE,2022-11-27,,584,VERIFIED
A00024,C00024,Customer 24,customer24@example.com,9489747629,900 Main St,GJ,SAVINGS,ACTIVE,2025-03-15,,601,REJECTED
A00025,C00025,Customer 25,customer25@example.com,9621828280,836 Main St,MH,SALARY,ACTIVE,2024-12-04,,748,PENDING
